task,actual,predicted,language_type,category,priority,scenario_id,ticket_text
Category,Structural,Carpentry,Sinhala,Structural,High,structural_railing_structural_fixing,මේ ගැටලුවට අවධානය දෙන්න. බැල්කනි අත්පාවරුවේ සවි කිරීම කොන්ක්‍රීට් එකෙන් ලූස් වෙලා. අලුත්වැඩියා කරන්න. ගැටලුව ටික වෙලාවක් තිස්සේ පවතිනවා. ගැටලුව ඉක්මනින් වැඩි වෙමින් තියෙන නිසා ඉක්මන් අවධානය අවශ්‍යයි.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,නේවාසිකයා වාර්තා කළේ. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. දැන් ටිකක් වැඩි වෙලා. වාර්තා කළ උපකරණය පරීක්ෂා කරන්න. වහාම හදිසි උදව් අවශ්‍යයි.
Category,Structural,Carpentry,Sinhala,Structural,High,structural_railing_structural_fixing,නඩත්තු ඉල්ලීම. බැල්කනි අත්පාවරුවේ සවි කිරීම කොන්ක්‍රීට් එකෙන් ලූස් වෙලා. අලුත්වැඩියා කරන්න. සාමාන්‍ය අපාර්ට්මෙන්ට් භාවිතයට බාධාවක් තියෙනවා. ගැටලුව බරපතල නිසා ප්‍රමුඛතාව දෙන්න.
Category,Pest Control,Fire and Safety,Singlish,Pest Control,High,pest_control_bee_swarm,me problem eka balanna. bee swarm ekak residents langa. dan tikak wadi wela. meka kalinuth una. delay unoth thawa damage wenna puluwan.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,Maintenance request. An aggressive bee swarm is close to residents. during normal use. It is affecting normal apartment use. The problem is getting worse and needs quick attention.
Category,Structural,Carpentry,Sinhala,Structural,High,structural_railing_structural_fixing,කරුණාකර පරීක්ෂා කරන්න. බැල්කනි අත්පාවරුවේ සවි කිරීම කොන්ක්‍රීට් එකෙන් ලූස් වෙලා. සාමාන්‍ය භාවිතයේදී. වාර්තා කළ ප්‍රදේශයේ ගැටලුව තියෙනවා. ගැටලුව බරපතල නිසා ප්‍රමුඛතාව දෙන්න.
Category,Fire and Safety,Electrical,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර පරීක්ෂා කරන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. පොදු ප්‍රදේශය අසල. සාමාන්‍ය අපාර්ට්මෙන්ට් භාවිතයට බාධාවක් තියෙනවා. තත්ත්වය අනතුරුදායක නිසා දැන්ම ප්‍රතිචාර දක්වන්න.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,Maintenance request. An aggressive bee swarm is close to residents. please arrange maintenance. The condition has continued for some time. The fault may cause more damage if it is delayed.
Category,Pest Control,Fire and Safety,Mixed,Pest Control,High,pest_control_bee_swarm,please මේ issue එක බලන්න. bee swarm එකක් residents ළඟ. please repair කරන්න. normal apartment use එකට problem එකක්. large area එකකට or several residents affected වෙන්න පුළුවන්.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,Please attend to this problem. An aggressive bee swarm is close to residents. at the reported location. The condition has continued for some time. Please arrange a technician as soon as possible.
Category,Pest Control,Fire and Safety,Singlish,Pest Control,High,pest_control_bee_swarm,please balanna. bee swarm ekak residents langa. dan tikak wadi wela. location ekedi meka penenawa. loku area ekakata hari residents godakata affect wenna puluwan.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර මේ ගැටලුව බලන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. වාර්තා කළ ස්ථානයේ. නේවාසිකයෙක් මේක මෑතකදී දැකගත්තා. මේ ආරක්ෂක ගැටලුව ප්‍රමාද කරන්න එපා.
Category,Pest Control,Fire and Safety,Mixed,Pest Control,High,pest_control_bee_swarm,please ඉක්මනට check කරන්න. bee swarm එකක් residents ළඟ. normal use කරද්දී. normal use කරද්දී issue එක notice වුණා. delay වුණොත් more damage වෙන්න පුළුවන්.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,This needs attention. An aggressive bee swarm is close to residents. at the reported location. It started this morning. The fault may cause more damage if it is delayed.
Category,Pest Control,Fire and Safety,Mixed,Pest Control,High,pest_control_bee_swarm,මේ problem එක check කරන්න. bee swarm එකක් residents ළඟ. common area එක ළඟ. මේ issue එක beforeත් වෙලා තියෙනවා. technician කෙනෙක් as soon as possible යොදවන්න.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,Please check this issue. An aggressive bee swarm is close to residents. in the apartment. The problem is inside the reported area. The issue has become serious and should be prioritised.
Category,Pest Control,Fire and Safety,Sinhala,Pest Control,High,pest_control_bee_swarm,කරුණාකර පරීක්ෂා කරන්න. මී මැසි රංචුවක් නේවාසිකයන් අසල තියෙනවා. අපාර්ට්මෙන්ට් එකේ. ස්ථානයේදී ගැටලුව පැහැදිලිව පේනවා. තාක්ෂණිකයෙකු ඉක්මනින් යොදවන්න.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,Resident reported. An aggressive bee swarm is close to residents. at the reported location. It is affecting normal apartment use. The fault may cause more damage if it is delayed.
Category,Pest Control,Fire and Safety,Sinhala,Pest Control,High,pest_control_bee_swarm,මේ ගැටලුවට අවධානය දෙන්න. මී මැසි රංචුවක් නේවාසිකයන් අසල තියෙනවා. දැන් ටිකක් වැඩි වෙලා. නේවාසිකයෙක් මේක මෑතකදී දැකගත්තා. විශාල ප්‍රදේශයකට හෝ නේවාසිකයන් කිහිප දෙනෙකුට බලපෑම් විය හැකියි.
Category,Structural,Carpentry,Sinhala,Structural,High,structural_railing_structural_fixing,මේ ගැටලුවට අවධානය දෙන්න. බැල්කනි අත්පාවරුවේ සවි කිරීම කොන්ක්‍රීට් එකෙන් ලූස් වෙලා. දැන් ටිකක් වැඩි වෙලා. සාමාන්‍ය අපාර්ට්මෙන්ට් භාවිතයට බාධාවක් තියෙනවා. ගැටලුව ඉක්මනින් වැඩි වෙමින් තියෙන නිසා ඉක්මන් අවධානය අවශ්‍යයි.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,නඩත්තු ඉල්ලීම. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. දැන් ටිකක් වැඩි වෙලා. මේක අද උදේ සිට තියෙනවා. නේවාසිකයන්ට හෝ දේපළට හදිසි අවදානමක් විය හැකියි.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර මේ ගැටලුව බලන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අපාර්ට්මෙන්ට් එකේ. වාර්තා කළ ප්‍රදේශයේ ගැටලුව තියෙනවා. මේ ආරක්ෂක ගැටලුව ප්‍රමාද කරන්න එපා.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,නඩත්තු ඉල්ලීම. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අපාර්ට්මෙන්ට් එකේ. ස්ථානයේදී ගැටලුව පැහැදිලිව පේනවා. නේවාසිකයන්ට හෝ දේපළට හදිසි අවදානමක් විය හැකියි.
Category,Fire and Safety,Electrical,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,නඩත්තු ඉල්ලීම. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. පොදු ප්‍රදේශය අසල. මේක අද උදේ සිට තියෙනවා. තත්ත්වය අනතුරුදායක නිසා දැන්ම ප්‍රතිචාර දක්වන්න.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,Please attend to this problem. An aggressive bee swarm is close to residents. please arrange maintenance. It started this morning. The issue has become serious and should be prioritised.
Category,Pest Control,Fire and Safety,Sinhala,Pest Control,High,pest_control_bee_swarm,මේ ගැටලුවට අවධානය දෙන්න. මී මැසි රංචුවක් නේවාසිකයන් අසල තියෙනවා. දැන් ටිකක් වැඩි වෙලා. වාර්තා කළ උපකරණය පරීක්ෂා කරන්න. තාක්ෂණිකයෙකු ඉක්මනින් යොදවන්න.
Category,Fire and Safety,Electrical,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර පරීක්ෂා කරන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අපාර්ට්මෙන්ට් එකේ. මේක අද උදේ සිට තියෙනවා. තත්ත්වය අනතුරුදායක නිසා දැන්ම ප්‍රතිචාර දක්වන්න.
Category,Structural,Carpentry,Sinhala,Structural,High,structural_railing_structural_fixing,කරුණාකර පරීක්ෂා කරන්න. බැල්කනි අත්පාවරුවේ සවි කිරීම කොන්ක්‍රීට් එකෙන් ලූස් වෙලා. වාර්තා කළ ස්ථානයේ. නේවාසිකයෙක් මේක මෑතකදී දැකගත්තා. ගැටලුව බරපතල නිසා ප්‍රමුඛතාව දෙන්න.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,Please attend to this problem. An aggressive bee swarm is close to residents. please arrange maintenance. The issue is easy to observe at the location. The problem is getting worse and needs quick attention.
Category,Pest Control,Fire and Safety,Singlish,Pest Control,High,pest_control_bee_swarm,me issue eka balanna. bee swarm ekak residents langa. dan tikak wadi wela. tikak wela idan issue eka thiyenawa. technician kenek ikmanata ewanna.
Category,Pest Control,Fire and Safety,Singlish,Pest Control,High,pest_control_bee_swarm,maintenance ekata danawa. bee swarm ekak residents langa. repair karanna. normal use karaddi meka notice una. issue eka ikmanata wadi wenawa quick attention one.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,Resident reported. An aggressive bee swarm is close to residents. please arrange maintenance. The issue was noticed during normal use. Please arrange a technician as soon as possible.
Category,Pest Control,Fire and Safety,Mixed,Pest Control,High,pest_control_bee_swarm,today ඉඳන් මේක තියෙනවා. bee swarm එකක් residents ළඟ. reported location එකේ. මේ issue එක beforeත් වෙලා තියෙනවා. technician කෙනෙක් as soon as possible යොදවන්න.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර මේ ගැටලුව බලන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. වාර්තා කළ ස්ථානයේ. සාමාන්‍ය අපාර්ට්මෙන්ට් භාවිතයට බාධාවක් තියෙනවා. තත්ත්වය අනතුරුදායක නිසා දැන්ම ප්‍රතිචාර දක්වන්න.
Category,Pest Control,Fire and Safety,Sinhala,Pest Control,High,pest_control_bee_swarm,මේ ගැටලුවට අවධානය දෙන්න. මී මැසි රංචුවක් නේවාසිකයන් අසල තියෙනවා. දැන් ටිකක් වැඩි වෙලා. නේවාසිකයෙක් මේක මෑතකදී දැකගත්තා. ගැටලුව ඉක්මනින් වැඩි වෙමින් තියෙන නිසා ඉක්මන් අවධානය අවශ්‍යයි.
Category,Structural,Carpentry,Sinhala,Structural,High,structural_railing_structural_fixing,කරුණාකර මේ ගැටලුව බලන්න. බැල්කනි අත්පාවරුවේ සවි කිරීම කොන්ක්‍රීට් එකෙන් ලූස් වෙලා. වාර්තා කළ ස්ථානයේ. වාර්තා කළ උපකරණය පරීක්ෂා කරන්න. විශාල ප්‍රදේශයකට හෝ නේවාසිකයන් කිහිප දෙනෙකුට බලපෑම් විය හැකියි.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර පරීක්ෂා කරන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අලුත්වැඩියා කරන්න. සාමාන්‍ය භාවිතයේදී මේක දැකගත්තා. ආරක්ෂාව සඳහා වහාම අවධානය අවශ්‍යයි.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,This needs attention. An aggressive bee swarm is close to residents. and it is getting worse. Please inspect the reported item. The fault may cause more damage if it is delayed.
Category,Pest Control,Fire and Safety,Sinhala,Pest Control,High,pest_control_bee_swarm,කරුණාකර මේ ගැටලුව බලන්න. මී මැසි රංචුවක් නේවාසිකයන් අසල තියෙනවා. දැන් ටිකක් වැඩි වෙලා. වාර්තා කළ උපකරණය පරීක්ෂා කරන්න. ගැටලුව ඉක්මනින් වැඩි වෙමින් තියෙන නිසා ඉක්මන් අවධානය අවශ්‍යයි.
Category,Pest Control,Fire and Safety,Mixed,Pest Control,High,pest_control_bee_swarm,today ඉඳන් මේක තියෙනවා. bee swarm එකක් residents ළඟ. common area එක ළඟ. මේක today morning ඉඳන් තියෙනවා. delay වුණොත් more damage වෙන්න පුළුවන්.
Category,Pest Control,Fire and Safety,Mixed,Pest Control,High,pest_control_bee_swarm,please මේ issue එක බලන්න. bee swarm එකක් residents ළඟ. common area එක ළඟ. issue එක ටික වෙලාවක් continue වෙනවා. large area එකකට or several residents affected වෙන්න පුළුවන්.
Category,Structural,Carpentry,Sinhala,Structural,High,structural_railing_structural_fixing,නඩත්තු ඉල්ලීම. බැල්කනි අත්පාවරුවේ සවි කිරීම කොන්ක්‍රීට් එකෙන් ලූස් වෙලා. වාර්තා කළ ස්ථානයේ. නේවාසිකයෙක් මේක මෑතකදී දැකගත්තා. ප්‍රමාද වුවහොත් තවත් හානි විය හැකියි.
Category,Pest Control,Fire and Safety,Sinhala,Pest Control,High,pest_control_bee_swarm,කරුණාකර පරීක්ෂා කරන්න. මී මැසි රංචුවක් නේවාසිකයන් අසල තියෙනවා. වාර්තා කළ ස්ථානයේ. වාර්තා කළ උපකරණය පරීක්ෂා කරන්න. විශාල ප්‍රදේශයකට හෝ නේවාසිකයන් කිහිප දෙනෙකුට බලපෑම් විය හැකියි.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර මේ ගැටලුව බලන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අපාර්ට්මෙන්ට් එකේ. සාමාන්‍ය භාවිතයේදී මේක දැකගත්තා. මේ ආරක්ෂක ගැටලුව ප්‍රමාද කරන්න එපා.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,Please check this issue. An aggressive bee swarm is close to residents. near the common area. Please inspect the reported item. A larger area or several residents may be affected.
Category,Pest Control,Fire and Safety,Mixed,Pest Control,High,pest_control_bee_swarm,මේ problem එක check කරන්න. bee swarm එකක් residents ළඟ. please repair කරන්න. issue එක still තියෙනවා. delay වුණොත් more damage වෙන්න පුළුවන්.
Category,Pest Control,Fire and Safety,Singlish,Pest Control,High,pest_control_bee_swarm,ada idan meka thiyenawa. bee swarm ekak residents langa. normal use karaddi. normal use karaddi meka notice una. technician kenek ikmanata ewanna.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර මේ ගැටලුව බලන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අලුත්වැඩියා කරන්න. සාමාන්‍ය භාවිතයේදී මේක දැකගත්තා. තත්ත්වය අනතුරුදායක නිසා දැන්ම ප්‍රතිචාර දක්වන්න.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,මේ ගැටලුවට අවධානය දෙන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අපාර්ට්මෙන්ට් එකේ. ගැටලුව ටික වෙලාවක් තිස්සේ පවතිනවා. මේ ආරක්ෂක ගැටලුව ප්‍රමාද කරන්න එපා.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,කරුණාකර මේ ගැටලුව බලන්න. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. සාමාන්‍ය භාවිතයේදී. නේවාසිකයෙක් මේක මෑතකදී දැකගත්තා. තත්ත්වය අනතුරුදායක නිසා දැන්ම ප්‍රතිචාර දක්වන්න.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,නඩත්තු ඉල්ලීම. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අලුත්වැඩියා කරන්න. නේවාසිකයෙක් මේක මෑතකදී දැකගත්තා. ආරක්ෂාව සඳහා වහාම අවධානය අවශ්‍යයි.
Category,Pest Control,Fire and Safety,Sinhala,Pest Control,High,pest_control_bee_swarm,මේ ගැටලුවට අවධානය දෙන්න. මී මැසි රංචුවක් නේවාසිකයන් අසල තියෙනවා. අලුත්වැඩියා කරන්න. ස්ථානයේදී ගැටලුව පැහැදිලිව පේනවා. ප්‍රමාද වුවහොත් තවත් හානි විය හැකියි.
Category,Pest Control,Fire and Safety,English,Pest Control,High,pest_control_bee_swarm,Maintenance request. An aggressive bee swarm is close to residents. during normal use. It started this morning. The issue has become serious and should be prioritised.
Category,Fire and Safety,Cleaning,Sinhala,Fire and Safety,Emergency,fire_and_safety_heavy_smoke,අද සිට මේක තියෙනවා. පොදු කොරිඩෝර් එක දුමෙන් පිරෙනවා. අපාර්ට්මෙන්ට් එකේ. වාර්තා කළ උපකරණය පරීක්ෂා කරන්න. මේ ආරක්ෂක ගැටලුව ප්‍රමාද කරන්න එපා.
